strategy,P,workload,partitions_touched,rows_scanned,rows_matched,latency_ms
group_book,4,W1,3,7,7,4.00035
group_book,4,W1,1,7,7,0.00035000000000000005
group_book,4,W1,2,10,10,2.0005
group_book,4,W1,1,7,7,0.00035000000000000005
group_book,4,W1,1,6,6,0.00030000000000000003
group_book,4,W1,1,19,19,0.00095
group_book,4,W1,3,14,14,4.0007
group_book,4,W1,1,18,18,0.0009
group_book,4,W1,1,5,5,0.00025
group_book,4,W1,2,6,6,2.0003
group_book,4,W1,1,11,11,0.00055
group_book,4,W1,1,8,8,0.0004
group_book,4,W1,2,12,12,2.0006
group_book,4,W1,1,16,16,0.0008
group_book,4,W1,1,8,8,0.0004
group_book,4,W1,1,5,5,0.00025
group_book,4,W1,1,5,5,0.00025
group_book,4,W1,1,8,8,0.0004
group_book,4,W1,1,18,18,0.0009
group_book,4,W1,1,5,5,0.00025
group_book,4,W1,4,45,45,6.00225
group_book,4,W1,1,18,18,0.0009
group_book,4,W1,1,7,7,0.00035000000000000005
group_book,4,W1,1,19,19,0.00095
group_book,4,W1,1,17,17,0.0008500000000000001
group_book,4,W1,1,5,5,0.00025
group_book,4,W1,2,6,6,2.0003
group_book,4,W1,1,8,8,0.0004
group_book,4,W1,1,11,11,0.00055
group_book,4,W1,2,12,12,2.0006
group_book,4,W1,1,8,8,0.0004
group_book,4,W1,3,5,5,4.00025
group_book,4,W1,1,6,6,0.00030000000000000003
group_book,4,W1,1,6,6,0.00030000000000000003
group_book,4,W1,1,6,6,0.00030000000000000003
group_book,4,W1,1,7,7,0.00035000000000000005
group_book,4,W1,4,26,26,6.0013
group_book,4,W1,1,13,13,0.00065
group_book,4,W1,1,6,6,0.00030000000000000003
group_book,4,W1,2,8,8,2.0004
group_book,4,W1,1,6,6,0.00030000000000000003
group_book,4,W1,3,8,8,4.0004
group_book,4,W1,3,5,5,4.00025
group_book,4,W1,2,11,11,2.00055
group_book,4,W1,1,9,9,0.00045
group_book,4,W1,1,13,13,0.00065
group_book,4,W1,3,22,22,4.0011
group_book,4,W1,1,18,18,0.0009
group_book,4,W1,1,5,5,0.00025
group_book,4,W1,1,5,5,0.00025
group_book,4,W1,2,10,10,2.0005
group_book,4,W1,1,9,9,0.00045
group_book,4,W1,1,5,5,0.00025
group_book,4,W1,1,7,7,0.00035000000000000005
group_book,4,W1,2,10,10,2.0005
group_book,4,W1,1,9,9,0.00045
group_book,4,W1,1,13,13,0.00065
group_book,4,W1,2,7,7,2.00035
group_book,4,W1,1,5,5,0.00025
group_book,4,W1,3,11,11,4.00055
group_book,4,W1,1,16,16,0.0008
group_book,4,W1,1,6,6,0.00030000000000000003
group_book,4,W1,1,6,6,0.00030000000000000003
group_book,4,W1,1,13,13,0.00065
group_book,4,W1,1,17,17,0.0008500000000000001
group_book,4,W1,1,6,6,0.00030000000000000003
group_book,4,W1,1,10,10,0.0005
group_book,4,W1,1,7,7,0.00035000000000000005
group_book,4,W1,1,5,5,0.00025
group_book,4,W1,1,9,9,0.00045
group_book,4,W1,1,6,6,0.00030000000000000003
group_book,4,W1,1,5,5,0.00025
group_book,4,W1,2,7,7,2.00035
group_book,4,W1,1,6,6,0.00030000000000000003
group_book,4,W1,1,8,8,0.0004
group_book,4,W1,1,5,5,0.00025
group_book,4,W1,1,6,6,0.00030000000000000003
group_book,4,W1,2,6,6,2.0003
group_book,4,W1,1,5,5,0.00025
group_book,4,W1,1,9,9,0.00045
group_book,4,W1,1,7,7,0.00035000000000000005
group_book,4,W1,2,8,8,2.0004
group_book,4,W1,2,20,20,2.001
group_book,4,W1,1,18,18,0.0009
group_book,4,W1,2,7,7,2.00035
group_book,4,W1,1,13,13,0.00065
group_book,4,W1,2,26,26,2.0013
group_book,4,W1,1,13,13,0.00065
group_book,4,W1,2,7,7,2.00035
group_book,4,W1,1,13,13,0.00065
group_book,4,W1,1,6,6,0.00030000000000000003
group_book,4,W1,3,42,42,4.0021
group_book,4,W1,1,6,6,0.00030000000000000003
group_book,4,W1,3,6,6,4.0003
group_book,4,W1,1,5,5,0.00025
group_book,4,W1,1,10,10,0.0005
group_book,4,W1,1,14,14,0.0007000000000000001
group_book,4,W1,1,19,19,0.00095
group_book,4,W1,1,11,11,0.00055
group_book,4,W1,2,7,7,2.00035
group_book,4,W1,1,7,7,0.00035000000000000005
group_book,4,W1,2,15,15,2.00075
group_book,4,W1,1,5,5,0.00025
group_book,4,W1,1,5,5,0.00025
group_book,4,W1,2,7,7,2.00035
group_book,4,W1,1,10,10,0.0005
group_book,4,W1,2,6,6,2.0003
group_book,4,W1,4,28,28,6.0014
group_book,4,W1,2,15,15,2.00075
group_book,4,W1,2,5,5,2.00025
group_book,4,W1,2,5,5,2.00025
group_book,4,W1,3,20,20,4.001
group_book,4,W1,1,6,6,0.00030000000000000003
group_book,4,W1,1,10,10,0.0005
group_book,4,W1,1,31,31,0.0015500000000000002
group_book,4,W1,1,9,9,0.00045
group_book,4,W1,2,9,9,2.00045
group_book,4,W1,1,10,10,0.0005
group_book,4,W1,2,5,5,2.00025
group_book,4,W1,2,15,15,2.00075
group_book,4,W1,4,11,11,6.00055
group_book,4,W1,1,8,8,0.0004
group_book,4,W1,1,9,9,0.00045
group_book,4,W1,2,7,7,2.00035
group_book,4,W1,2,6,6,2.0003
group_book,4,W1,3,14,14,4.0007
group_book,4,W1,1,16,16,0.0008
group_book,4,W1,1,5,5,0.00025
group_book,4,W1,2,44,44,2.0022
group_book,4,W1,1,5,5,0.00025
group_book,4,W1,1,12,12,0.0006000000000000001
group_book,4,W1,1,19,19,0.00095
group_book,4,W1,1,11,11,0.00055
group_book,4,W1,1,36,36,0.0018
group_book,4,W1,1,5,5,0.00025
group_book,4,W1,1,9,9,0.00045
group_book,4,W1,1,5,5,0.00025
group_book,4,W1,1,13,13,0.00065
group_book,4,W1,1,7,7,0.00035000000000000005
group_book,4,W1,4,20,20,6.001
group_book,4,W1,2,5,5,2.00025
group_book,4,W1,1,11,11,0.00055
group_book,4,W1,1,6,6,0.00030000000000000003
group_book,4,W1,1,13,13,0.00065
group_book,4,W1,1,6,6,0.00030000000000000003
group_book,4,W1,1,5,5,0.00025
group_book,4,W1,2,15,15,2.00075
group_book,4,W1,2,14,14,2.0007
group_book,4,W1,1,14,14,0.0007000000000000001
group_book,4,W1,1,9,9,0.00045
group_book,4,W1,1,10,10,0.0005
group_book,4,W1,1,7,7,0.00035000000000000005
group_book,4,W1,1,8,8,0.0004
group_book,4,W1,1,5,5,0.00025
group_book,4,W1,2,10,10,2.0005
group_book,4,W1,1,8,8,0.0004
group_book,4,W1,1,18,18,0.0009
group_book,4,W1,2,15,15,2.00075
group_book,4,W1,1,6,6,0.00030000000000000003
group_book,4,W1,1,6,6,0.00030000000000000003
group_book,4,W1,1,8,8,0.0004
group_book,4,W1,1,7,7,0.00035000000000000005
group_book,4,W1,1,23,23,0.00115
group_book,4,W1,1,5,5,0.00025
group_book,4,W1,1,6,6,0.00030000000000000003
group_book,4,W1,1,9,9,0.00045
group_book,4,W1,1,10,10,0.0005
group_book,4,W1,1,8,8,0.0004
group_book,4,W1,1,6,6,0.00030000000000000003
group_book,4,W1,1,5,5,0.00025
group_book,4,W1,1,6,6,0.00030000000000000003
group_book,4,W1,1,17,17,0.0008500000000000001
group_book,4,W1,1,7,7,0.00035000000000000005
group_book,4,W1,1,67,67,0.0033500000000000005
group_book,4,W1,1,18,18,0.0009
group_book,4,W1,1,6,6,0.00030000000000000003
group_book,4,W1,3,6,6,4.0003
group_book,4,W1,1,5,5,0.00025
group_book,4,W1,1,5,5,0.00025
group_book,4,W1,1,7,7,0.00035000000000000005
group_book,4,W1,1,8,8,0.0004
group_book,4,W1,1,11,11,0.00055
group_book,4,W1,1,26,26,0.0013
group_book,4,W1,1,5,5,0.00025
group_book,4,W1,1,13,13,0.00065
group_book,4,W1,2,5,5,2.00025
group_book,4,W1,1,6,6,0.00030000000000000003
group_book,4,W1,2,5,5,2.00025
group_book,4,W1,1,5,5,0.00025
group_book,4,W1,2,6,6,2.0003
group_book,4,W1,1,11,11,0.00055
group_book,4,W1,1,13,13,0.00065
group_book,4,W1,2,11,11,2.00055
group_book,4,W1,1,6,6,0.00030000000000000003
group_book,4,W1,1,7,7,0.00035000000000000005
group_book,4,W1,1,6,6,0.00030000000000000003
group_book,4,W1,3,56,56,4.0028
group_book,4,W1,1,9,9,0.00045
group_book,4,W1,1,18,18,0.0009
group_book,4,W1,4,129,129,6.00645
group_book,4,W1,1,5,5,0.00025
group_book,4,W1,1,10,10,0.0005
group_book,4,W1,1,6,6,0.00030000000000000003
group_book,4,W1,1,13,13,0.00065
group_book,4,W1,1,9,9,0.00045
group_book,4,W1,3,9,9,4.00045
group_book,4,W1,2,15,15,2.00075
group_book,4,W1,1,6,6,0.00030000000000000003
group_book,4,W1,1,9,9,0.00045
group_book,4,W1,1,9,9,0.00045
group_book,4,W1,3,5,5,4.00025
group_book,4,W1,1,5,5,0.00025
group_book,4,W1,2,10,10,2.0005
group_book,4,W1,1,8,8,0.0004
group_book,4,W1,1,8,8,0.0004
group_book,4,W1,1,6,6,0.00030000000000000003
group_book,4,W1,1,9,9,0.00045
group_book,4,W1,1,5,5,0.00025
group_book,4,W1,1,7,7,0.00035000000000000005
group_book,4,W1,3,7,7,4.00035
group_book,4,W1,1,6,6,0.00030000000000000003
group_book,4,W1,2,5,5,2.00025
group_book,4,W1,1,5,5,0.00025
group_book,4,W1,2,8,8,2.0004
group_book,4,W1,1,9,9,0.00045
group_book,4,W1,1,8,8,0.0004
group_book,4,W1,2,17,17,2.00085
group_book,4,W1,1,5,5,0.00025
group_book,4,W1,2,12,12,2.0006
group_book,4,W1,2,15,15,2.00075
group_book,4,W1,1,5,5,0.00025
group_book,4,W1,1,10,10,0.0005
group_book,4,W1,1,5,5,0.00025
group_book,4,W1,1,6,6,0.00030000000000000003
group_book,4,W1,1,6,6,0.00030000000000000003
group_book,4,W1,2,9,9,2.00045
group_book,4,W1,1,6,6,0.00030000000000000003
group_book,4,W1,2,5,5,2.00025
group_book,4,W1,2,5,5,2.00025
group_book,4,W1,1,7,7,0.00035000000000000005
group_book,4,W1,1,9,9,0.00045
group_book,4,W1,1,6,6,0.00030000000000000003
group_book,4,W1,1,5,5,0.00025
group_book,4,W1,1,19,19,0.00095
group_book,4,W1,1,13,13,0.00065
group_book,4,W1,2,8,8,2.0004
group_book,4,W1,1,13,13,0.00065
group_book,4,W1,3,15,15,4.00075
group_book,4,W1,1,27,27,0.00135
group_book,4,W1,1,7,7,0.00035000000000000005
group_book,4,W1,2,23,23,2.00115
group_book,4,W1,3,23,23,4.00115
group_book,4,W1,1,7,7,0.00035000000000000005
group_book,4,W1,1,30,30,0.0015
group_book,4,W1,3,15,15,4.00075
group_book,4,W1,1,15,15,0.00075
group_book,4,W1,1,5,5,0.00025
group_book,4,W1,2,7,7,2.00035
group_book,4,W1,1,5,5,0.00025
group_book,4,W1,1,5,5,0.00025
group_book,4,W1,1,8,8,0.0004
group_book,4,W1,2,23,23,2.00115
group_book,4,W1,1,5,5,0.00025
group_book,4,W1,2,9,9,2.00045
group_book,4,W1,1,8,8,0.0004
group_book,4,W1,1,6,6,0.00030000000000000003
group_book,4,W1,1,5,5,0.00025
group_book,4,W1,1,5,5,0.00025
group_book,4,W1,2,19,19,2.00095
group_book,4,W1,3,9,9,4.00045
group_book,4,W1,2,5,5,2.00025
group_book,4,W1,1,7,7,0.00035000000000000005
group_book,4,W1,1,7,7,0.00035000000000000005
group_book,4,W1,1,16,16,0.0008
group_book,4,W1,1,5,5,0.00025
group_book,4,W1,1,6,6,0.00030000000000000003
group_book,4,W1,2,40,40,2.002
group_book,4,W1,1,5,5,0.00025
group_book,4,W1,1,13,13,0.00065
group_book,4,W1,1,8,8,0.0004
group_book,4,W1,1,6,6,0.00030000000000000003
group_book,4,W1,1,47,47,0.00235
group_book,4,W1,1,10,10,0.0005
group_book,4,W1,1,25,25,0.0012500000000000002
group_book,4,W1,1,8,8,0.0004
group_book,4,W1,1,5,5,0.00025
group_book,4,W1,3,21,21,4.00105
group_book,4,W1,1,10,10,0.0005
group_book,4,W1,1,8,8,0.0004
group_book,4,W1,2,7,7,2.00035
group_book,4,W1,1,13,13,0.00065
group_book,4,W1,2,5,5,2.00025
group_book,4,W1,1,48,48,0.0024000000000000002
group_book,4,W1,3,35,35,4.00175
group_book,4,W1,1,5,5,0.00025
group_book,4,W1,1,5,5,0.00025
group_book,4,W1,1,8,8,0.0004
group_book,4,W1,1,12,12,0.0006000000000000001
group_book,4,W1,3,5,5,4.00025
group_book,4,W1,1,10,10,0.0005
group_book,4,W1,2,16,16,2.0008
group_book,4,W1,1,6,6,0.00030000000000000003
group_book,4,W1,1,6,6,0.00030000000000000003
group_book,4,W1,2,6,6,2.0003
group_book,4,W1,1,10,10,0.0005
group_book,4,W1,2,5,5,2.00025
group_book,4,W1,1,5,5,0.00025
group_book,4,W1,1,5,5,0.00025
group_book,4,W1,1,25,25,0.0012500000000000002
group_book,4,W1,2,14,14,2.0007
group_book,4,W1,2,5,5,2.00025
group_book,4,W1,3,14,14,4.0007
group_book,4,W1,1,8,8,0.0004
group_book,4,W1,1,9,9,0.00045
group_book,4,W1,3,86,86,4.0043
group_book,4,W1,1,5,5,0.00025
group_book,4,W1,1,6,6,0.00030000000000000003
group_book,4,W1,1,17,17,0.0008500000000000001
group_book,4,W1,1,8,8,0.0004
group_book,4,W1,1,10,10,0.0005
group_book,4,W1,2,5,5,2.00025
group_book,4,W1,1,9,9,0.00045
group_book,4,W1,1,8,8,0.0004
group_book,4,W1,1,8,8,0.0004
group_book,4,W1,1,5,5,0.00025
group_book,4,W1,1,17,17,0.0008500000000000001
group_book,4,W1,1,8,8,0.0004
group_book,4,W1,1,7,7,0.00035000000000000005
group_book,4,W1,2,9,9,2.00045
group_book,4,W1,2,12,12,2.0006
group_book,4,W1,1,8,8,0.0004
group_book,4,W1,1,8,8,0.0004
group_book,4,W1,1,10,10,0.0005
group_book,4,W1,2,9,9,2.00045
group_book,4,W1,1,13,13,0.00065
group_book,4,W1,1,7,7,0.00035000000000000005
group_book,4,W1,1,5,5,0.00025
group_book,4,W1,2,7,7,2.00035
group_book,4,W1,1,32,32,0.0016
group_book,4,W1,1,5,5,0.00025
group_book,4,W1,2,72,72,2.0036
group_book,4,W1,1,9,9,0.00045
group_book,4,W1,3,23,23,4.00115
group_book,4,W1,1,10,10,0.0005
group_book,4,W1,2,10,10,2.0005
group_book,4,W1,1,6,6,0.00030000000000000003
group_book,4,W1,1,8,8,0.0004
group_book,4,W1,1,16,16,0.0008
group_book,4,W1,3,10,10,4.0005
group_book,4,W1,1,13,13,0.00065
group_book,4,W1,2,28,28,2.0014
group_book,4,W1,1,6,6,0.00030000000000000003
group_book,4,W1,2,5,5,2.00025
group_book,4,W1,1,18,18,0.0009
group_book,4,W1,1,19,19,0.00095
group_book,4,W1,1,5,5,0.00025
group_book,4,W1,2,6,6,2.0003
group_book,4,W1,1,7,7,0.00035000000000000005
group_book,4,W1,1,8,8,0.0004
group_book,4,W1,1,5,5,0.00025
group_book,4,W1,1,10,10,0.0005
group_book,4,W1,1,6,6,0.00030000000000000003
group_book,4,W1,1,7,7,0.00035000000000000005
group_book,4,W1,1,9,9,0.00045
group_book,4,W1,1,13,13,0.00065
group_book,4,W1,1,8,8,0.0004
group_book,4,W1,1,19,19,0.00095
group_book,4,W1,2,11,11,2.00055
group_book,4,W1,3,34,34,4.0017
group_book,4,W1,2,9,9,2.00045
group_book,4,W1,1,5,5,0.00025
group_book,4,W1,1,7,7,0.00035000000000000005
group_book,4,W1,1,13,13,0.00065
group_book,4,W1,2,11,11,2.00055
group_book,4,W1,1,9,9,0.00045
group_book,4,W1,2,21,21,2.00105
group_book,4,W1,1,8,8,0.0004
group_book,4,W1,1,18,18,0.0009
group_book,4,W1,4,11,11,6.00055
group_book,4,W1,1,7,7,0.00035000000000000005
group_book,4,W1,1,5,5,0.00025
group_book,4,W1,1,7,7,0.00035000000000000005
group_book,4,W1,1,8,8,0.0004
group_book,4,W1,1,12,12,0.0006000000000000001
group_book,4,W1,1,11,11,0.00055
group_book,4,W1,1,8,8,0.0004
group_book,4,W1,3,37,37,4.00185
group_book,4,W1,2,12,12,2.0006
group_book,4,W1,2,9,9,2.00045
group_book,4,W1,2,5,5,2.00025
group_book,4,W1,2,17,17,2.00085
group_book,4,W1,2,7,7,2.00035
group_book,4,W1,2,17,17,2.00085
group_book,4,W1,1,6,6,0.00030000000000000003
group_book,4,W1,1,6,6,0.00030000000000000003
group_book,4,W1,1,5,5,0.00025
group_book,4,W1,1,6,6,0.00030000000000000003
group_book,4,W1,1,22,22,0.0011
group_book,4,W1,1,7,7,0.00035000000000000005
group_book,4,W1,1,13,13,0.00065
group_book,4,W1,1,6,6,0.00030000000000000003
group_book,4,W1,3,95,95,4.00475
group_book,4,W1,2,17,17,2.00085
group_book,4,W1,1,7,7,0.00035000000000000005
group_book,4,W1,1,5,5,0.00025
group_book,4,W1,1,7,7,0.00035000000000000005
group_book,4,W1,1,5,5,0.00025
group_book,4,W1,1,8,8,0.0004
group_book,4,W1,3,104,104,4.0052
group_book,4,W1,1,6,6,0.00030000000000000003
group_book,4,W1,1,6,6,0.00030000000000000003
group_book,4,W1,1,15,15,0.00075
group_book,4,W1,1,5,5,0.00025
group_book,4,W1,1,5,5,0.00025
group_book,4,W1,2,7,7,2.00035
group_book,4,W1,1,5,5,0.00025
group_book,4,W1,3,50,50,4.0025
group_book,4,W1,1,6,6,0.00030000000000000003
group_book,4,W1,1,23,23,0.00115
group_book,4,W1,2,5,5,2.00025
group_book,4,W1,1,9,9,0.00045
group_book,4,W1,2,12,12,2.0006
group_book,4,W1,1,10,10,0.0005
group_book,4,W1,1,5,5,0.00025
group_book,4,W1,1,9,9,0.00045
group_book,4,W1,2,6,6,2.0003
group_book,4,W1,1,6,6,0.00030000000000000003
group_book,4,W1,1,11,11,0.00055
group_book,4,W1,1,39,39,0.0019500000000000001
group_book,4,W1,2,7,7,2.00035
group_book,4,W1,1,7,7,0.00035000000000000005
group_book,4,W1,2,11,11,2.00055
group_book,4,W1,3,9,9,4.00045
group_book,4,W1,1,5,5,0.00025
group_book,4,W1,1,8,8,0.0004
group_book,4,W1,1,5,5,0.00025
group_book,4,W1,3,18,18,4.0009
group_book,4,W1,1,6,6,0.00030000000000000003
group_book,4,W1,1,8,8,0.0004
group_book,4,W1,2,9,9,2.00045
group_book,4,W1,1,6,6,0.00030000000000000003
group_book,4,W1,1,9,9,0.00045
group_book,4,W1,1,7,7,0.00035000000000000005
group_book,4,W1,1,5,5,0.00025
group_book,4,W1,1,6,6,0.00030000000000000003
group_book,4,W1,2,19,19,2.00095
group_book,4,W1,1,8,8,0.0004
group_book,4,W1,4,17,17,6.00085
group_book,4,W1,1,5,5,0.00025
group_book,4,W1,3,9,9,4.00045
group_book,4,W1,3,9,9,4.00045
group_book,4,W1,2,36,36,2.0018
group_book,4,W1,1,5,5,0.00025
group_book,4,W1,3,15,15,4.00075
group_book,4,W1,1,5,5,0.00025
group_book,4,W1,1,22,22,0.0011
group_book,4,W1,1,8,8,0.0004
group_book,4,W1,1,9,9,0.00045
group_book,4,W1,1,5,5,0.00025
group_book,4,W1,1,7,7,0.00035000000000000005
group_book,4,W1,1,9,9,0.00045
group_book,4,W1,1,7,7,0.00035000000000000005
group_book,4,W1,1,19,19,0.00095
group_book,4,W1,1,14,14,0.0007000000000000001
group_book,4,W1,3,17,17,4.00085
group_book,4,W1,1,95,95,0.004750000000000001
group_book,4,W1,1,5,5,0.00025
group_book,4,W1,1,8,8,0.0004
group_book,4,W1,1,5,5,0.00025
group_book,4,W1,3,6,6,4.0003
group_book,4,W1,1,5,5,0.00025
group_book,4,W1,1,9,9,0.00045
group_book,4,W1,3,7,7,4.00035
group_book,4,W1,1,8,8,0.0004
group_book,4,W1,1,10,10,0.0005
group_book,4,W1,1,5,5,0.00025
group_book,4,W1,1,19,19,0.00095
group_book,4,W1,1,5,5,0.00025
group_book,4,W1,1,7,7,0.00035000000000000005
group_book,4,W1,1,12,12,0.0006000000000000001
group_book,4,W1,1,13,13,0.00065
group_book,4,W1,2,5,5,2.00025
group_book,4,W1,1,10,10,0.0005
group_book,4,W1,4,11,11,6.00055
group_book,4,W1,1,9,9,0.00045
group_book,4,W1,1,6,6,0.00030000000000000003
group_book,4,W1,1,5,5,0.00025
group_book,4,W1,2,17,17,2.00085
group_book,4,W1,1,6,6,0.00030000000000000003
group_book,4,W1,4,92,92,6.0046
group_book,4,W1,3,11,11,4.00055
group_book,4,W1,1,5,5,0.00025
group_book,4,W1,4,7,7,6.00035
group_book,4,W1,1,5,5,0.00025
group_book,4,W1,1,8,8,0.0004
group_book,4,W1,4,69,69,6.00345
group_book,4,W1,1,5,5,0.00025
group_book,4,W1,2,10,10,2.0005
group_book,4,W1,1,23,23,0.00115
group_book,4,W1,1,5,5,0.00025
